year,n
2022,293
2021,740
2020,386
2019,115
2018,50
2017,24
2016,57
2015,53
2014,43
2013,5
2012,6
2011,2
2010,3
2009,2
2008,9
2007,7
2006,6
2005,3
2004,4
2002,4
2001,2
1981,1
